#@ TextLoader{
#@   header+
#@   sep=comma
#@   col=Features:R4:0-10
#@ }
Numero_de_Habitaciones_MinMax,Tamaño_m2_MinMax,Coste_USD_MinMax,Año_de_Construcción_MinMax,Precio_m2_MinMax,Ubicacion_OneHot.Rural,Ubicacion_OneHot.Centro,Ubicacion_OneHot.Suburbios,Tipo_de_Vivienda_OneHot.Casa,Tipo_de_Vivienda_OneHot.Dúplex,Tipo_de_Vivienda_OneHot.Apartamento
0.75,0.30541003,0.513238,0.509434,0.24504383,1,0,0,1,0,0
1,0.7455038,0.76910096,0.9811321,0.12603012,0,1,0,1,0,0
0.5,0.25914803,0.4420007,0.13207547,0.24821915,0,0,1,0,1,0
1,0.3496209,0.36600894,0.509434,0.15505545,0,1,0,0,1,0
1,0.2880114,0.4841189,0.6603774,0.24512248,1,0,0,0,1,0
0.25,0.08036336,0.99999994,0.4716981,0.8785914,1,0,0,1,0,0
0.5,0.31281027,0.56218684,0.13207547,0.26081762,0,0,1,1,0,0
0.5,0.43210873,0.67592293,0.9245283,0.22695698,0,1,0,0,1,0
0.5,0.4392513,0.42531636,0.509434,0.13428721,1,0,0,0,1,0
1,0.12783414,0.48465687,0.509434,0.4184002,0,0,1,1,0,0
0.75,0.5512985,0.6167578,0.6792453,0.15052824,1,0,0,0,1,0
0.5,0.03765432,0.4993477,0.754717,0.61146486,1,0,0,0,0,1
1,0.40185338,0.04340697,0.6603774,0.0087962365,0,1,0,1,0,0
0.25,0.6955422,0.75947434,0.49056605,0.13901103,1,0,0,0,1,0
0.75,0.1129629,0.3323297,1,0.34049907,0,1,0,1,0,0
0.25,0.190689,0.513238,0.3018868,0.3514148,1,0,0,0,0,1
0.75,0.31262589,0.6257002,0.1509434,0.28842163,0,0,1,1,0,0
1,0.2021904,0.48692724,0.6037736,0.32421774,1,0,0,1,0,0
0,0.010402563,0.5699271,0.9811321,0.75678134,0,1,0,1,0,0
0.75,0.31281027,0.4464879,0.3584906,0.2108029,0,1,0,1,0,0
0.25,0.09981319,0.36132935,0.2264151,0.37941188,0,0,1,0,0,1
1,0.38112155,0.51771253,0.509434,0.19758376,1,0,0,1,0,0
0.75,0.12600271,0.6703466,0.8867925,0.5408427,1,0,0,1,0,0
0,0.31281027,0.3662647,0.5283019,0.17612374,0,0,1,0,1,0
0,0.15094684,0.3307291,0.2264151,0.29193386,1,0,0,1,0,0
0.5,0.2354126,0.39083445,0.8490566,0.2427651,1,0,0,0,1,0
0.5,0.4433903,0.513238,0.6415094,0.16339558,0,1,0,0,0,1
0.25,0.068971835,0.79823256,0.094339624,0.762537,1,0,0,0,0,1
0.75,0.33603162,0.55250645,0.3207547,0.23994091,1,0,0,0,0,1
0.75,0.53379,0.6019204,0.9433962,0.1529864,0,0,1,0,0,1
0.5,0,0.32904732,0.0754717,0.5626701,0,0,1,0,1,0
0.75,0.3281931,0.6684909,0.8679246,0.29424256,0,1,0,1,0,0
0.75,0.3419655,0.5952559,0.4528302,0.2534612,1,0,0,0,0,1
0,0.43756637,0.31092498,0.018867925,0.09448076,1,0,0,1,0,0
0.5,0.06783636,0.06812646,0.16981132,0.21073894,1,0,0,0,1,0
1,0.052562196,0.1959091,0.5471698,0.3315294,0,1,0,0,1,0
0.5,0.38998574,0.32014653,0.9245283,0.11737025,0,1,0,0,1,0
1,0.34877846,0.73275,0.8301887,0.30459896,0,0,1,0,0,1
0,0.34024397,0.820835,0.0754717,0.34770092,0,1,0,1,0,0
0.25,0.35782576,0.37190053,0.6037736,0.15308698,1,0,0,1,0,0
0.75,0.31281027,0.37902138,1,0.18163824,1,0,0,1,0,0
0,0.31281027,0.52988577,0,0.24685441,0,1,0,0,1,0
0.75,0.34804583,0.513238,0.3207547,0.21582602,1,0,0,0,0,1
0.25,0.16354713,0.68069893,0.5849057,0.48331392,1,0,0,0,1,0
0.25,0.6360939,0.35304743,0.8679246,0.047553416,0,1,0,0,1,0
0,0.3811582,0.6848019,0.9056604,0.2620329,0,1,0,1,0,0
0.25,0.07618769,0.41703176,0.18867925,0.45975482,1,0,0,0,1,0
1,0.41463682,0.663358,0.3773585,0.23266205,1,0,0,1,0,0
0.25,0.31281027,0.40986288,0.4716981,0.19497053,1,0,0,0,0,1
0.75,0.43851876,0.33278912,0.4528302,0.101858415,0,0,1,1,0,0
0.75,0.5065748,0.9018301,0.3962264,0.2611277,0,0,1,0,0,1
0.75,0.1440973,0.7109586,0.49056605,0.53367364,0,0,1,1,0,0
0.75,0.47082525,0.06714098,0.9056604,0,0,1,0,0,1,0
1,0.36998644,0.37026557,0.2264151,0.14619295,0,0,1,0,1,0
0.5,0.31281027,0.74243575,0.6037736,0.33873624,0,1,0,0,0,1
0,0.6417713,0.20129664,0.6226415,0.004650389,0,1,0,0,0,1
0.75,0.2494414,0.6445892,0.754717,0.35480827,0,0,1,0,0,1
0.25,0.15633127,0.6212404,0.6415094,0.459263,0,0,1,1,0,0
0.75,0.13146038,0.3133994,0,0.30412856,0,0,1,1,0,0
0.25,0.14497638,0.46894863,0.3773585,0.38362104,1,0,0,0,0,1
0.25,0.28024614,0,0.8867925,0.02911133,0,0,1,0,1,0
0.75,0.35687336,0.513238,0.094339624,0.2102854,1,0,0,1,0,0
1,0.34504232,0.40128872,0.509434,0.1719539,0,1,0,1,0,0
0.25,0.4458811,0.65205526,0.3018868,0.21083288,1,0,0,1,0,0
0.25,0.29676566,0.60924965,0.0754717,0.29422927,0,0,1,0,0,1
0.75,0.5606021,0.513238,0.5660378,0.115737155,0,1,0,0,0,1
